task_id,department,corridor_id,defect_severity,days_overdue,estimated_hours,asset_age_years,actual_risk_score
596,Engineering,COR_02,C,0,7,8,12.05
597,S&T,COR_03,B,16,4,26,55.14
598,Engineering,COR_05,C,15,1,9,25.13
599,S&T,COR_05,A,10,7,5,52.2
600,Engineering,COR_01,B,12,4,10,39.45
601,Engineering,COR_03,C,17,6,20,28.48
602,S&T,COR_04,C,10,5,6,25.48
603,Engineering,COR_01,B,27,2,16,62.0
604,S&T,COR_03,B,11,1,24,40.14
605,Engineering,COR_03,C,5,7,27,17.9
606,Engineering,COR_01,C,8,7,3,16.13
607,Traction,COR_05,C,15,3,10,30.21
608,Traction,COR_03,C,3,5,11,13.44
609,S&T,COR_05,A,2,2,11,37.57
610,Traction,COR_01,A,27,4,17,86.01
611,S&T,COR_05,C,15,2,4,30.59
612,Traction,COR_02,A,23,5,4,86.47
613,Engineering,COR_04,B,26,5,17,64.42
614,S&T,COR_03,C,25,6,9,47.85
615,S&T,COR_04,C,29,6,19,44.35
616,Engineering,COR_05,C,24,2,5,42.07
617,S&T,COR_03,C,11,4,22,22.15
618,S&T,COR_05,C,10,2,24,19.48
619,Traction,COR_02,A,4,5,6,38.97
620,S&T,COR_01,B,24,5,3,63.4
621,Engineering,COR_03,B,17,3,22,54.49
622,Traction,COR_02,B,18,6,1,49.21
623,Traction,COR_02,C,22,3,20,34.54
624,Engineering,COR_03,B,22,1,22,57.4
625,Engineering,COR_05,B,5,5,16,31.32
626,Traction,COR_02,B,21,3,23,57.63
627,S&T,COR_04,A,17,2,11,60.4
628,Traction,COR_02,B,25,6,13,57.52
629,Engineering,COR_05,A,5,6,27,47.67
630,Traction,COR_05,A,3,4,10,43.4
631,Engineering,COR_04,A,11,2,3,45.66
632,Traction,COR_02,B,18,4,9,48.83
633,S&T,COR_05,C,28,3,28,51.44
634,Traction,COR_03,B,26,7,12,66.69
635,Traction,COR_01,B,28,1,23,71.15
636,Engineering,COR_01,C,1,2,14,14.85
637,Engineering,COR_01,A,16,2,1,61.3
638,Engineering,COR_02,C,10,2,18,16.5
639,Traction,COR_04,C,10,4,17,23.06
640,S&T,COR_05,B,20,3,27,60.42
641,Engineering,COR_03,C,15,2,9,36.26
642,Engineering,COR_03,A,1,7,9,40.08
643,Traction,COR_02,C,1,2,23,15.77
644,Engineering,COR_01,B,22,6,10,57.83
645,S&T,COR_02,C,7,1,19,18.69
646,S&T,COR_04,A,12,6,29,61.44
647,Engineering,COR_04,C,9,6,15,30.55
648,Engineering,COR_05,C,7,1,5,14.47
649,Traction,COR_05,A,29,7,15,100.0
650,S&T,COR_04,B,3,3,20,26.05
651,S&T,COR_04,C,14,6,23,37.12
652,Engineering,COR_04,C,29,3,25,45.34
653,Traction,COR_02,B,0,6,28,26.71
654,S&T,COR_04,C,10,5,2,18.86
655,S&T,COR_03,C,6,1,13,12.46
656,Traction,COR_01,C,16,6,24,35.04
657,Traction,COR_04,A,26,5,16,91.61
658,S&T,COR_01,C,19,4,15,32.71
659,S&T,COR_02,B,23,5,25,53.74
660,Traction,COR_01,C,17,2,10,32.5
661,S&T,COR_02,B,21,6,14,54.86
662,Engineering,COR_03,A,28,5,10,92.41
663,Engineering,COR_02,C,21,3,25,45.15
664,Traction,COR_02,B,11,4,14,38.97
665,Traction,COR_05,C,8,7,26,32.0
666,Traction,COR_04,C,4,6,23,18.87
667,Engineering,COR_04,C,9,2,9,20.51
668,S&T,COR_03,A,3,7,25,36.51
669,Engineering,COR_03,C,4,5,14,15.1
670,S&T,COR_04,A,27,7,3,85.26
671,Engineering,COR_05,A,27,7,20,94.06
672,S&T,COR_04,C,9,4,16,25.35
673,Engineering,COR_05,B,10,7,2,30.24
674,Traction,COR_03,B,20,7,10,53.7
675,Engineering,COR_01,C,23,6,3,42.66
676,S&T,COR_03,B,9,4,11,42.29
677,Engineering,COR_03,B,27,2,11,68.28
678,Engineering,COR_02,C,7,5,21,24.9
679,Engineering,COR_02,A,1,4,21,39.32
680,Traction,COR_02,C,22,4,22,43.45
681,Engineering,COR_02,C,7,1,13,25.65
682,Traction,COR_05,C,15,4,7,23.77
683,Traction,COR_04,C,26,1,23,45.69
684,Engineering,COR_01,B,21,5,17,52.35
685,Engineering,COR_03,B,4,7,2,27.57
686,Engineering,COR_05,C,26,6,12,50.76
687,S&T,COR_01,C,24,6,25,42.27
688,Engineering,COR_05,C,28,5,10,36.96
689,Traction,COR_05,B,2,5,18,23.69
690,Engineering,COR_03,A,11,3,22,62.88
691,S&T,COR_04,A,12,7,27,64.05
692,Engineering,COR_02,C,12,5,11,28.32
693,S&T,COR_04,B,9,4,16,35.14
694,S&T,COR_03,C,3,6,17,9.77
695,Engineering,COR_03,C,8,2,19,24.79
696,Traction,COR_03,A,21,6,18,73.97
697,S&T,COR_01,C,23,1,3,49.39
698,Engineering,COR_04,B,22,6,21,60.64
699,Engineering,COR_04,C,26,3,27,45.37
700,Traction,COR_05,C,1,7,26,11.67
701,S&T,COR_05,C,18,5,16,34.9
702,S&T,COR_05,C,0,7,6,8.43
703,Engineering,COR_03,B,24,5,25,66.99
704,Engineering,COR_04,A,28,6,12,91.15
705,Traction,COR_03,C,6,2,11,15.15
706,Traction,COR_01,A,16,2,15,75.77
707,S&T,COR_05,B,2,3,15,25.21
708,S&T,COR_03,A,19,1,16,76.83
709,Engineering,COR_03,C,19,6,10,32.87
710,S&T,COR_01,A,20,5,12,76.27
711,Traction,COR_02,C,29,6,28,53.52
712,Traction,COR_04,C,2,3,13,5.01
713,Engineering,COR_02,A,2,4,4,46.95
714,Traction,COR_05,A,16,4,7,71.68
715,Traction,COR_03,B,6,3,22,30.88
716,Traction,COR_01,C,26,5,2,38.6
717,Traction,COR_01,B,25,7,26,65.34
718,Engineering,COR_04,B,13,3,27,45.13
719,Engineering,COR_02,A,16,5,27,71.08
720,S&T,COR_04,C,17,2,27,36.79
721,Traction,COR_03,B,12,3,15,43.26
722,S&T,COR_04,C,19,5,8,41.67
723,Engineering,COR_01,C,28,3,7,49.59
724,Engineering,COR_01,B,19,3,15,47.55
725,Engineering,COR_05,C,20,7,23,45.29
726,Engineering,COR_05,A,26,7,14,94.06
727,Engineering,COR_03,C,17,5,8,46.58
728,Engineering,COR_02,C,3,5,28,12.42
729,Engineering,COR_04,C,0,1,12,11.65
730,Traction,COR_03,A,17,3,13,59.69
731,S&T,COR_05,A,0,4,11,37.77
732,Engineering,COR_04,B,25,3,17,59.75
733,Traction,COR_05,B,25,3,29,72.89
734,Traction,COR_04,B,12,5,17,37.92
735,S&T,COR_02,B,19,3,24,46.31
736,Engineering,COR_03,A,19,6,4,69.18
737,S&T,COR_04,B,22,3,21,49.31
738,Engineering,COR_01,C,9,6,8,25.22
739,Traction,COR_01,B,26,7,5,52.47
740,Traction,COR_04,A,10,4,26,57.69
741,Traction,COR_04,B,8,5,16,25.53
742,Traction,COR_04,A,8,3,4,48.31
743,S&T,COR_01,C,4,6,28,26.07
744,Engineering,COR_01,A,25,6,22,87.83
745,Engineering,COR_04,C,0,7,29,9.75
746,S&T,COR_05,C,16,6,15,32.33
747,Engineering,COR_05,C,21,2,12,38.69
748,Traction,COR_02,C,1,1,5,12.76
749,Engineering,COR_03,C,23,4,23,37.15
750,Traction,COR_05,C,12,7,16,29.94
751,S&T,COR_01,C,8,7,14,9.57
752,Engineering,COR_05,C,28,3,10,44.79
753,S&T,COR_02,C,3,2,7,11.51
754,Engineering,COR_02,C,4,3,13,18.91
755,Traction,COR_03,C,10,3,20,25.44
756,S&T,COR_05,B,23,5,28,54.69
757,Engineering,COR_01,B,18,5,29,48.73
758,Traction,COR_01,A,20,5,5,74.29
759,S&T,COR_04,A,2,2,29,42.08
760,S&T,COR_01,B,11,3,3,34.69
761,Engineering,COR_03,A,25,1,15,82.84
762,Engineering,COR_03,C,18,4,4,36.28
763,Engineering,COR_01,B,18,5,15,48.32
764,Traction,COR_01,C,12,5,14,26.55
765,Engineering,COR_04,A,27,7,20,99.44
766,S&T,COR_01,B,6,3,19,25.77
767,S&T,COR_04,C,14,3,13,21.2
768,Engineering,COR_04,C,22,2,10,43.07
769,Engineering,COR_01,A,6,2,21,45.82
770,S&T,COR_02,C,25,5,5,41.28
771,Traction,COR_02,C,7,3,27,19.11
772,Engineering,COR_04,B,4,1,23,28.46
773,Engineering,COR_01,B,20,4,20,61.83
774,S&T,COR_02,C,13,3,29,34.52
775,Engineering,COR_01,C,3,7,20,19.84
776,Traction,COR_01,C,22,3,25,35.95
777,S&T,COR_01,C,9,6,6,16.39
778,Engineering,COR_05,B,19,2,4,37.63
779,S&T,COR_01,B,14,7,2,38.3
780,Engineering,COR_05,B,17,4,22,54.52
781,Engineering,COR_04,C,19,5,16,38.95
782,Engineering,COR_02,C,12,7,18,26.67
783,Traction,COR_02,C,28,3,5,46.61
784,Traction,COR_02,B,7,5,22,31.18
785,S&T,COR_02,B,8,3,4,33.55
786,Engineering,COR_02,B,15,5,13,48.87
787,Engineering,COR_02,C,18,4,19,28.66
788,Traction,COR_02,C,15,2,23,33.89
789,Engineering,COR_04,A,6,4,2,49.61
790,Traction,COR_01,C,13,6,13,26.26
791,Engineering,COR_03,A,27,1,11,91.3
792,S&T,COR_05,C,13,2,22,42.23
793,Engineering,COR_03,A,24,4,29,85.05
794,Engineering,COR_03,C,26,6,4,45.61
795,Traction,COR_01,A,3,1,22,39.86
796,Engineering,COR_01,C,25,6,20,46.18
797,Engineering,COR_01,B,14,3,20,47.15
798,Traction,COR_02,A,2,3,15,40.81
799,S&T,COR_04,B,4,5,4,21.7
800,S&T,COR_02,A,0,2,9,35.88
801,Traction,COR_04,A,2,3,7,45.02
802,Traction,COR_04,C,14,7,19,32.5
803,Traction,COR_03,B,23,6,19,63.63
804,Traction,COR_03,C,26,2,6,43.16
805,Traction,COR_04,C,7,7,6,22.18
806,S&T,COR_04,C,28,3,20,50.62
807,S&T,COR_02,A,3,5,15,37.67
808,Traction,COR_02,B,1,4,15,24.8
809,Engineering,COR_03,C,28,5,25,45.85
810,Traction,COR_01,C,23,7,20,39.88
811,Engineering,COR_04,B,23,1,9,58.41
812,Traction,COR_02,B,9,3,4,35.57
813,Traction,COR_03,B,3,7,18,21.83
814,S&T,COR_02,C,2,1,18,19.0
815,Engineering,COR_04,B,1,1,5,24.15
816,Engineering,COR_04,B,24,6,20,57.99
817,S&T,COR_05,C,16,2,23,27.05
818,S&T,COR_01,A,22,6,11,77.75
819,S&T,COR_05,A,20,3,5,71.42
820,S&T,COR_03,C,23,1,22,43.56
821,Engineering,COR_02,C,19,7,26,36.81
822,Engineering,COR_03,B,22,4,4,46.14
823,Traction,COR_04,B,12,1,29,41.77
824,Traction,COR_05,B,4,7,12,26.3
825,S&T,COR_05,B,29,4,2,68.75
826,S&T,COR_05,C,20,6,13,34.34
827,S&T,COR_03,B,29,6,10,74.83
828,Traction,COR_04,B,8,2,9,25.03
829,Traction,COR_02,B,24,7,10,65.18
830,Traction,COR_02,C,28,1,7,46.06
831,Traction,COR_03,C,24,5,4,45.01
832,Traction,COR_05,C,27,6,19,48.22
833,Traction,COR_01,A,21,6,10,81.33
834,Traction,COR_03,C,5,2,3,13.92
835,S&T,COR_03,C,4,4,25,13.33
836,S&T,COR_04,B,24,2,21,67.63
837,S&T,COR_02,B,9,1,29,38.19
838,S&T,COR_03,B,7,7,19,34.7
839,Traction,COR_03,B,6,3,21,37.96
840,Engineering,COR_05,B,6,3,2,24.49
841,Traction,COR_05,A,5,7,27,50.6
842,Engineering,COR_01,B,20,4,20,52.09
843,S&T,COR_04,C,28,6,10,47.01
844,Traction,COR_01,B,19,4,2,50.23
845,S&T,COR_05,C,2,6,2,4.78
846,Traction,COR_02,C,18,6,28,33.98
847,S&T,COR_05,C,21,3,24,46.76
848,Engineering,COR_04,C,14,4,17,34.09
849,Engineering,COR_05,A,3,2,16,41.8
850,Engineering,COR_04,C,27,6,16,48.41
851,Traction,COR_04,A,11,5,14,56.08
852,Engineering,COR_04,B,5,5,7,34.41
853,Traction,COR_04,C,18,2,21,35.31
854,Engineering,COR_04,A,3,5,11,42.22
855,Engineering,COR_02,B,14,1,24,50.92
856,Traction,COR_01,C,8,6,1,15.83
857,Traction,COR_03,C,4,2,11,22.67
858,Engineering,COR_01,C,12,4,23,21.74
859,Traction,COR_04,B,22,6,21,65.35
860,Engineering,COR_02,C,25,2,4,40.86
861,Traction,COR_05,B,17,3,7,46.52
862,S&T,COR_02,C,29,4,26,43.37
863,S&T,COR_04,C,29,3,15,47.8
864,S&T,COR_02,C,4,6,18,12.35
865,S&T,COR_02,C,24,4,12,39.91
866,S&T,COR_04,A,15,5,17,65.14
867,Engineering,COR_02,C,26,2,1,47.59
868,S&T,COR_03,C,18,6,11,35.35
869,S&T,COR_03,A,13,1,28,65.17
870,S&T,COR_02,C,24,4,1,35.78
871,S&T,COR_05,B,29,4,15,64.33
872,Traction,COR_04,C,15,7,28,41.45
873,Engineering,COR_03,C,26,6,21,43.61
874,S&T,COR_05,C,14,6,10,36.28
875,S&T,COR_02,A,21,3,7,74.64
876,S&T,COR_05,C,3,7,2,12.8
877,Engineering,COR_01,C,6,5,10,22.99
878,Traction,COR_03,C,15,3,24,38.39
879,Engineering,COR_02,B,23,7,4,56.18
880,Traction,COR_04,B,21,3,12,53.17
881,S&T,COR_02,C,20,5,19,38.27
882,S&T,COR_04,B,21,7,26,58.89
883,Engineering,COR_02,C,20,7,11,41.06
884,Engineering,COR_05,C,7,1,8,19.22
885,Traction,COR_05,C,16,3,18,35.75
886,Traction,COR_05,C,15,3,11,37.71
887,Engineering,COR_01,C,26,4,11,46.8
888,Traction,COR_04,A,22,5,13,80.14
889,Engineering,COR_05,A,9,2,3,44.75
890,Traction,COR_01,A,9,1,12,41.41
891,Engineering,COR_04,A,26,7,3,86.53
892,Engineering,COR_02,C,1,7,10,11.13
893,Engineering,COR_01,C,29,7,27,49.67
894,Traction,COR_03,C,8,1,17,23.22
895,Traction,COR_01,C,16,7,22,33.44
896,Traction,COR_01,C,10,7,2,27.16
897,Engineering,COR_04,C,9,5,17,23.86
898,Traction,COR_02,C,21,6,16,35.99
899,Traction,COR_03,C,24,6,2,45.24
900,Engineering,COR_05,B,16,4,28,48.77
901,S&T,COR_05,A,3,4,22,45.49
902,Engineering,COR_01,B,15,7,20,44.58
903,Traction,COR_04,C,19,5,6,31.98
904,Engineering,COR_04,C,14,7,28,32.48
905,S&T,COR_05,B,24,4,25,62.07
906,Engineering,COR_03,B,26,1,29,68.07
907,Traction,COR_02,C,20,1,10,35.72
908,S&T,COR_03,A,4,2,28,38.0
909,Traction,COR_02,B,5,6,10,26.98
910,S&T,COR_05,C,16,5,8,34.75
911,S&T,COR_02,B,0,3,1,17.97
912,Engineering,COR_04,A,24,6,13,81.57
913,Engineering,COR_01,C,18,3,24,41.13
914,Traction,COR_01,C,3,2,9,10.87
915,Engineering,COR_05,C,16,2,22,26.84
916,Engineering,COR_04,B,8,7,10,33.0
917,S&T,COR_03,B,23,4,15,56.48
918,Engineering,COR_04,B,1,2,5,17.31
919,S&T,COR_01,C,7,2,22,20.91
920,S&T,COR_01,C,14,3,16,32.16
921,S&T,COR_04,A,6,4,13,47.38
922,Traction,COR_04,C,26,2,22,48.43
923,Traction,COR_01,A,5,6,25,55.67
924,Traction,COR_03,B,0,2,20,21.15
925,S&T,COR_05,A,14,4,18,65.21
926,Traction,COR_05,B,22,7,11,54.05
927,Traction,COR_04,C,25,5,27,42.85
928,Engineering,COR_05,C,6,4,9,15.44
929,Traction,COR_01,A,28,3,16,88.9
930,Traction,COR_01,C,29,5,2,49.11
931,S&T,COR_04,A,24,6,26,95.44
932,S&T,COR_04,C,16,1,25,31.06
933,S&T,COR_04,C,1,4,2,8.27
934,S&T,COR_03,B,26,7,12,62.63
935,S&T,COR_05,C,8,3,8,22.3
936,S&T,COR_04,B,28,6,9,66.75
937,Traction,COR_02,A,8,5,12,56.87
938,S&T,COR_02,B,12,6,26,32.17
939,S&T,COR_01,C,5,4,9,6.09
940,Engineering,COR_05,C,5,2,10,14.68
941,Traction,COR_04,A,19,7,25,79.89
942,Traction,COR_02,C,19,4,2,27.19
943,Traction,COR_05,C,20,1,16,24.6
944,S&T,COR_01,C,2,4,20,17.2
945,S&T,COR_03,C,16,5,7,32.12
946,S&T,COR_05,C,16,5,28,29.93
947,Engineering,COR_05,A,11,4,2,50.87
948,S&T,COR_03,A,15,5,1,58.59
949,Engineering,COR_05,C,14,2,19,31.0
950,Traction,COR_01,B,12,6,28,40.54
951,S&T,COR_01,C,22,4,4,40.72
952,Engineering,COR_03,C,0,7,24,0.0
953,Engineering,COR_04,A,16,2,22,64.79
954,S&T,COR_02,A,2,6,27,37.07
955,Traction,COR_04,B,25,7,2,58.38
956,Traction,COR_05,C,14,7,25,29.18
957,Traction,COR_02,B,3,7,14,29.96
958,Engineering,COR_03,B,3,6,2,16.0
959,Engineering,COR_03,B,17,2,29,51.72
960,Engineering,COR_02,A,16,7,15,69.84
961,Engineering,COR_01,B,18,7,12,58.35
962,Traction,COR_02,A,10,3,5,51.68
963,S&T,COR_05,C,19,4,28,40.23
964,Engineering,COR_01,B,2,6,20,17.85
965,Engineering,COR_03,B,7,6,29,24.85
966,Traction,COR_02,B,13,5,7,44.95
967,S&T,COR_04,B,25,6,24,63.42
968,S&T,COR_04,C,0,2,21,17.42
969,Traction,COR_05,C,13,6,10,21.46
970,Traction,COR_04,A,1,3,14,40.12
971,S&T,COR_02,C,28,4,14,56.63
972,Engineering,COR_02,A,22,4,5,79.19
973,S&T,COR_04,A,3,6,18,43.66
974,Traction,COR_02,C,23,7,24,43.45
975,Engineering,COR_05,C,26,1,14,38.65
976,Engineering,COR_01,C,28,1,2,52.21
977,Traction,COR_05,B,18,7,26,49.86
978,Traction,COR_05,C,5,7,12,19.49
979,Traction,COR_02,A,24,7,22,77.31
980,S&T,COR_01,B,0,2,24,18.14
981,S&T,COR_02,C,16,1,6,37.25
982,Engineering,COR_03,B,7,7,4,29.49
983,Traction,COR_02,C,18,2,13,41.25
984,Engineering,COR_02,C,20,5,4,35.5
985,Engineering,COR_02,A,0,2,22,29.07
986,Engineering,COR_01,C,4,1,14,20.24
987,Engineering,COR_02,C,26,6,16,43.37
988,Traction,COR_01,B,15,5,29,51.42
989,Engineering,COR_04,C,5,1,4,15.93
990,Traction,COR_03,C,7,2,24,15.18
991,Traction,COR_01,A,12,3,25,62.04
992,S&T,COR_04,C,15,4,1,38.41
993,Traction,COR_01,C,29,1,13,51.66
994,S&T,COR_01,A,2,7,4,37.73
995,Traction,COR_03,C,18,2,20,40.81
996,Traction,COR_05,B,11,7,18,40.88
997,Traction,COR_05,C,15,7,6,30.46
998,S&T,COR_01,C,26,7,3,38.82
999,S&T,COR_02,B,10,7,23,40.27
1000,Engineering,COR_04,B,9,7,13,40.46
